pair,ticker_a,ticker_b,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,pnl,pnl_pct,exit_reason
AAPL/GOOGL,AAPL,GOOGL,SHORT_SPREAD,2022-06-06 00:00:00,2022-07-12 00:00:00,2.018,0.266,36,309.16,0.44,SIGNAL
PEP/WMT,PEP,WMT,SHORT_SPREAD,2022-10-10 00:00:00,2022-10-28 00:00:00,2.365,0.423,18,44.45,0.06,SIGNAL
AAPL/META,AAPL,META,LONG_SPREAD,2022-10-17 00:00:00,2022-11-16 00:00:00,-2.431,-0.391,30,23.8,0.03,SIGNAL
COP/SLB,COP,SLB,LONG_SPREAD,2023-01-30 00:00:00,2023-02-15 00:00:00,-2.007,-0.169,16,82.91,0.12,SIGNAL
PFE/MRK,PFE,MRK,SHORT_SPREAD,2023-04-03 00:00:00,2023-04-04 00:00:00,2.699,3.536,1,-200.43,-0.29,STOP_LOSS
PFE/MRK,PFE,MRK,SHORT_SPREAD,2023-04-04 00:00:00,2023-04-05 00:00:00,2.699,4.407,1,97.16,0.14,STOP_LOSS
COP/SLB,COP,SLB,SHORT_SPREAD,2023-04-10 00:00:00,2023-04-12 00:00:00,2.213,0.306,2,163.6,0.23,SIGNAL
COP/SLB,COP,SLB,SHORT_SPREAD,2023-04-12 00:00:00,2023-04-14 00:00:00,2.213,-0.476,2,-89.96,-0.13,SIGNAL
COP/SLB,COP,SLB,SHORT_SPREAD,2023-04-14 00:00:00,2023-04-17 00:00:00,2.213,-0.332,3,-63.59,-0.09,SIGNAL
PFE/MRK,PFE,MRK,SHORT_SPREAD,2023-04-05 00:00:00,2023-04-26 00:00:00,2.699,0.286,21,318.04,0.45,SIGNAL
MRK/ABT,MRK,ABT,SHORT_SPREAD,2023-05-01 00:00:00,2023-05-05 00:00:00,2.56,0.409,4,54.9,0.08,SIGNAL
MRK/ABT,MRK,ABT,SHORT_SPREAD,2023-05-05 00:00:00,2023-05-11 00:00:00,2.56,0.018,6,44.01,0.06,SIGNAL
PEP/WMT,PEP,WMT,LONG_SPREAD,2023-05-08 00:00:00,2023-05-19 00:00:00,-2.248,0.261,11,401.86,0.57,SIGNAL
AAPL/JNJ,AAPL,JNJ,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-3.27,-4.098,1,-528.06,-0.75,STOP_LOSS
AAPL/PFE,AAPL,PFE,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-2.894,-3.828,1,-414.94,-0.59,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-2.651,-3.667,1,-311.23,-0.44,STOP_LOSS
AAPL/ABT,AAPL,ABT,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-3.386,-4.38,1,-467.04,-0.67,STOP_LOSS
MSFT/JNJ,MSFT,JNJ,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-3.398,-4.222,1,-521.85,-0.75,STOP_LOSS
MSFT/PFE,MSFT,PFE,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-2.955,-3.881,1,-430.37,-0.61,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-06-19 00:00:00,2023-06-20 00:00:00,-2.766,-3.819,1,-345.7,-0.49,STOP_LOSS
AAPL/JNJ,AAPL,JNJ,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-3.27,-4.228,1,-1084.32,-1.55,STOP_LOSS
AAPL/PFE,AAPL,PFE,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-2.894,-3.946,1,-1359.07,-1.94,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-2.651,-3.713,1,-1373.83,-1.96,STOP_LOSS
AAPL/ABT,AAPL,ABT,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-3.386,-4.383,1,-1472.78,-2.1,STOP_LOSS
MSFT/JNJ,MSFT,JNJ,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-3.398,-4.397,1,-963.3,-1.38,STOP_LOSS
MSFT/PFE,MSFT,PFE,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-2.955,-4.042,1,-1183.56,-1.69,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-06-20 00:00:00,2023-06-21 00:00:00,-2.766,-3.901,1,-1185.56,-1.69,STOP_LOSS
AAPL/JNJ,AAPL,JNJ,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-3.27,-4.654,1,-297.93,-0.43,STOP_LOSS
AAPL/PFE,AAPL,PFE,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-2.894,-4.62,1,-423.72,-0.61,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-2.651,-4.347,1,-151.04,-0.22,STOP_LOSS
AAPL/ABT,AAPL,ABT,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-3.386,-4.91,1,-395.81,-0.57,STOP_LOSS
MSFT/JNJ,MSFT,JNJ,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-3.398,-4.854,1,-216.35,-0.31,STOP_LOSS
MSFT/PFE,MSFT,PFE,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-2.955,-4.747,1,-317.68,-0.45,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-06-21 00:00:00,2023-06-22 00:00:00,-2.766,-4.576,1,-100.59,-0.14,STOP_LOSS
AAPL/JNJ,AAPL,JNJ,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-3.27,-4.43,1,24.5,0.03,STOP_LOSS
AAPL/PFE,AAPL,PFE,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-2.894,-4.497,1,-112.97,-0.16,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-2.651,-4.117,1,13.57,0.02,STOP_LOSS
AAPL/ABT,AAPL,ABT,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-3.386,-4.66,1,-6.31,-0.01,STOP_LOSS
MSFT/JNJ,MSFT,JNJ,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-3.398,-4.548,1,37.37,0.05,STOP_LOSS
MSFT/PFE,MSFT,PFE,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-2.955,-4.55,1,-73.17,-0.1,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-06-22 00:00:00,2023-06-23 00:00:00,-2.766,-4.261,1,29.4,0.04,STOP_LOSS
AAPL/JNJ,AAPL,JNJ,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-3.27,-4.054,3,632.9,0.9,STOP_LOSS
AAPL/PFE,AAPL,PFE,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-2.894,-4.196,3,799.45,1.14,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-2.651,-3.826,3,487.7,0.7,STOP_LOSS
AAPL/ABT,AAPL,ABT,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-3.386,-4.264,3,612.6,0.88,STOP_LOSS
MSFT/JNJ,MSFT,JNJ,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-3.398,-4.117,3,432.38,0.62,STOP_LOSS
MSFT/PFE,MSFT,PFE,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-2.955,-4.203,3,565.93,0.81,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-06-23 00:00:00,2023-06-26 00:00:00,-2.766,-3.908,3,312.78,0.45,STOP_LOSS
AAPL/META,AAPL,META,SHORT_SPREAD,2023-06-26 00:00:00,2023-06-30 00:00:00,2.524,0.191,4,195.53,0.28,SIGNAL
AAPL/META,AAPL,META,SHORT_SPREAD,2023-06-30 00:00:00,2023-07-03 00:00:00,2.524,-0.089,3,42.54,0.06,SIGNAL
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-07-03 00:00:00,2023-07-05 00:00:00,-2.012,-3.514,2,-2124.33,-3.03,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-07-03 00:00:00,2023-07-05 00:00:00,-2.066,-3.542,2,-1914.63,-2.74,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-07-05 00:00:00,2023-07-07 00:00:00,-2.012,-3.562,2,-317.84,-0.45,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-07-05 00:00:00,2023-07-07 00:00:00,-2.066,-3.564,2,-192.73,-0.28,STOP_LOSS
KO/PEP,KO,PEP,LONG_SPREAD,2023-05-29 00:00:00,2023-07-12 00:00:00,-2.356,-0.401,44,192.13,0.27,SIGNAL
BAC/WFC,BAC,WFC,LONG_SPREAD,2023-07-10 00:00:00,2023-07-17 00:00:00,-2.476,-3.614,7,-286.94,-0.41,STOP_LOSS
AAPL/MRK,AAPL,MRK,LONG_SPREAD,2023-07-07 00:00:00,2023-07-20 00:00:00,-2.012,-3.54,13,-3687.18,-5.27,STOP_LOSS
MSFT/MRK,MSFT,MRK,LONG_SPREAD,2023-07-07 00:00:00,2023-07-20 00:00:00,-2.066,-3.502,13,-2835.3,-4.05,STOP_LOSS
AAPL/MSFT,AAPL,MSFT,SHORT_SPREAD,2023-08-07 00:00:00,2023-08-14 00:00:00,2.817,0.165,7,457.79,0.65,SIGNAL
BAC/GS,BAC,GS,SHORT_SPREAD,2023-08-21 00:00:00,2023-09-25 00:00:00,2.01,3.508,35,-407.8,-0.58,STOP_LOSS
